categoria,seccion,codigo,link
Lavado,,1450,https://www.amahogar.com.ar/1450-lavado
Lavarropas,Lavado,1492,https://www.amahogar.com.ar/1492-lavarropas
Frontales,Lavarropas,1562,https://www.amahogar.com.ar/1562-frontales
Lavasecarropas,Lavarropas,1618,https://www.amahogar.com.ar/1618-lavasecarropas
Semiautomaticos,Lavarropas,1633,https://www.amahogar.com.ar/1633-semiautomaticos
Superiores,Lavarropas,1572,https://www.amahogar.com.ar/1572-superiores
Lavavajillas,Lavado,1499,https://www.amahogar.com.ar/1499-lavavajillas
Automaticos,Lavavajillas,1589,https://www.amahogar.com.ar/1589-automaticos
Secarropas,Lavado,1491,https://www.amahogar.com.ar/1491-secarropas
Centrifugos,Secarropas,1592,https://www.amahogar.com.ar/1592-centrifugos
Por aire caliente,Secarropas,1651,https://www.amahogar.com.ar/1651-por-aire-caliente
Cocina,,1451,https://www.amahogar.com.ar/1451-cocina
Anafes,Cocina,1475,https://www.amahogar.com.ar/1475-anafes
A gas an,Anafes,1568,https://www.amahogar.com.ar/1568-a-gas-an
Electricos an,Anafes,1630,https://www.amahogar.com.ar/1630-electricos-an
Aspiracion,Cocina,1494,https://www.amahogar.com.ar/1494-aspiracion
Campanas,Aspiracion,1549,https://www.amahogar.com.ar/1549-campanas
Extractores,Aspiracion,1591,https://www.amahogar.com.ar/1591-extractores
Purificadores,Aspiracion,1611,https://www.amahogar.com.ar/1611-purificadores
Bachas,Cocina,1476,https://www.amahogar.com.ar/1476-bachas
Bacha para cocina,Bachas,1653,https://www.amahogar.com.ar/1653-bacha-para-cocina
Cocinas,Cocina,1483,https://www.amahogar.com.ar/1483-cocinas
A gas co,Cocinas,1569,https://www.amahogar.com.ar/1569-a-gas-co
Electricas co,Cocinas,1629,https://www.amahogar.com.ar/1629-electricas-co
Hornos,Cocina,1477,https://www.amahogar.com.ar/1477-hornos
A gas ho,Hornos,1570,https://www.amahogar.com.ar/1570-a-gas-ho
Electricos ho,Hornos,1631,https://www.amahogar.com.ar/1631-electricos-ho
Otros ho,Hornos,1708,https://www.amahogar.com.ar/1708-otros-ho
Microondas hornitos,Cocina,1522,https://www.amahogar.com.ar/1522-microondas-hornitos
Hornitos electricos,Microondas-hornitos,1667,https://www.amahogar.com.ar/1667-hornitos-electricos
Microondas,Microondas-hornitos,1577,https://www.amahogar.com.ar/1577-microondas
Pequeaos electrodomesticos,,1467,https://www.amahogar.com.ar/1467-pequeaos-electrodomesticos
Cuidado personal,Pequeaos-electrodomesticos,1512,https://www.amahogar.com.ar/1512-cuidado-personal
